Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_speciation[1]	log_speciation[2]	log_speciation[3]	rate_12	rate_21	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
94	-1585.81	-1583.59	-2.22814	0.240143	0.208578	0.0594595	-1.42652	-1.56744	-2.82246	-1.19906	-1.80557	-1.35065	0.01441648	0.02653466	0.1113465	0.03372268	0.570627	0.17898	0.250393	0.301478	0.16438	0.259071
95	-1586.31	-1583.85	-2.45895	0.260574	0.19922	0.0609331	-1.34487	-1.61335	-2.79798	-1.22567	-1.86383	-1.26687	0.01708459	0.03766315	0.1273706	0.02546681	0.570627	0.17898	0.250393	0.293562	0.155077	0.281712
96	-1587.94	-1585.72	-2.21069	0.255199	0.179953	0.0626727	-1.36571	-1.71506	-2.76983	-1.17279	-2.04624	-1.26687	0.01350286	0.02355395	0.1273706	0.03230315	0.570627	0.17898	0.250393	0.309502	0.12922	0.281712
97	-1589.51	-1587.22	-2.29028	0.262074	0.187954	0.0548497	-1.33913	-1.67156	-2.90316	-1.08239	-2.04624	-1.2123	0.02653692	0.01476449	0.09680494	0.02976916	0.459116	0.144004	0.39688	0.338784	0.12922	0.297512
98	-1586.93	-1584.71	-2.21916	0.25727	0.17249	0.0567708	-1.35763	-1.75742	-2.86873	-1.13304	-1.93217	-1.30091	0.02653692	0.0207779	0.09680494	0.02329744	0.459116	0.144004	0.39688	0.322054	0.144833	0.272283
99	-1585.8	-1583.81	-1.9908	0.27003	0.161471	0.0612716	-1.30922	-1.82343	-2.79244	-1.20131	-1.81871	-1.30091	0.02186792	0.02059955	0.09680494	0.02121783	0.42196	0.13235	0.44569	0.3008	0.162236	0.272283
100	-1587.56	-1585.52	-2.04569	0.236456	0.170204	0.0501146	-1.44199	-1.77076	-2.99344	-1.14385	-1.81871	-1.23731	0.01675649	0.02189145	0.09680494	0.02121783	0.187306	0.186077	0.626617	0.31859	0.162236	0.290163
101	-1584.79	-1582.51	-2.27728	0.256277	0.164419	0.0463004	-1.3615	-1.80534	-3.0726	-1.17767	-1.81923	-1.30458	0.02072148	0.01869393	0.1134959	0.02387182	0.141214	0.196631	0.662156	0.307996	0.16215	0.271285
102	-1584.97	-1582.67	-2.3038	0.280306	0.164162	0.0439136	-1.27187	-1.8069	-3.12553	-1.15648	-1.76004	-1.34447	0.02282142	0.01869393	0.1134959	0.01951611	0.161951	0.0786577	0.759392	0.314593	0.172039	0.260677
103	-1585.7	-1583.39	-2.3116	0.249729	0.1446	0.0447972	-1.38738	-1.93379	-3.10561	-1.18085	-1.87461	-1.26962	0.0221287	0.01508629	0.1134959	0.02769869	0.132273	0.0642436	0.803483	0.307016	0.153415	0.280937
